id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
5205,-28.0808,21.1544,0.001,58.54,128.33,15.25,77.15,15.39,6.85,very low contamination
5206,-28.4147,21.2494,0.001,46.28,114.15,9.87,64.19,10.94,3.95,very low contamination
5207,-28.4264,21.3142,0.001,45.45,110.17,8.32,45.69,8.37,3.2,very low contamination
5208,-27.7767,20.8342,0.001,29.99,108.65,3.68,27.2,3.15,1.63,very low contamination
5209,-27.2306,20.7939,0.001,32.59,122.09,4.36,21.8,3.32,1.76,very low contamination
5210,-27.9731,20.7528,0.001,28.83,110.64,4.16,25.29,3.59,1.52,very low contamination
5211,-26.2919,20.5839,0.001,37.73,117.3,3.97,70.75,5.75,2.39,very low contamination
5212,-26.107,20.4869,0.001,44.07,113.8,6.28,41.57,9.81,3.79,very low contamination
5213,-26.2286,20.8058,0.001,31.7,111.35,5.07,22.69,3.25,1.77,very low contamination
5214,-25.9339,20.5839,0.001,31.44,118.13,4.12,29.75,4.29,1.99,very low contamination
5215,-25.7778,20.6611,0.001,29.5,122.9,2.92,19.57,2.43,1.69,very low contamination
5216,-25.5861,20.4043,0.001,31.65,126.19,4.66,29.41,4.65,2.12,very low contamination
5217,-25.4769,20.5575,0.001,36.89,128.13,6.4,50.97,10.77,3.61,very low contamination
5218,-25.2986,20.53,0.001,37.4,141.75,7.61,54.28,8.54,2.8,very low contamination
5219,-25.1347,20.3839,0.001,5.62,5.9,2.28,15.59,3.83,2.1,very low contamination
5220,-27.0311,20.5111,0.001,10.09,6.43,3.83,16.09,4.64,2.15,very low contamination
5221,-26.8789,20.0942,0.001,29.69,36.57,10.91,51.31,21.31,12.73,very low contamination
5222,-27.9622,20.0611,0.001,1.36,4.11,2.99,12.67,2.94,1.26,very low contamination
5223,-26.7644,20.2325,0.001,4.77,6.41,5.62,20.32,4.31,2.11,very low contamination
5224,-26.7464,20.3144,0.001,14.53,7.27,4.53,18.89,6.11,2.58,very low contamination
5225,-26.5375,20.5375,0.001,8.62,20.87,4.57,31.06,57.49,10.14,very low contamination
5226,-27.4572,20.7297,0.001,3.28,4.15,2.49,8.09,2.65,1.15,very low contamination
5227,-28.1139,20.9514,0.001,29.88,22.62,10.99,42.36,19.62,9.55,very low contamination
5228,-28.2067,20.6456,0.001,19.31,15.57,9.79,37.42,10.95,6.26,very low contamination
5229,-28.2347,20.3933,0.001,22.88,12.89,6.46,32.24,12.08,4.14,very low contamination
5230,-28.2728,20.537,0.001,29.55,18.31,6.78,45.82,12.56,5.13,very low contamination
5231,-28.3922,20.6142,0.001,49.3,24.79,12.47,64.55,22.07,8.51,very low contamination
5232,-28.7019,20.5803,0.001,37.02,17.31,7.99,43.12,12.82,5.01,very low contamination
5233,-28.5056,20.3386,0.001,22.95,12.15,7.51,24.43,8.23,2.71,very low contamination
5234,-28.8175,20.4178,0.001,30.38,15.52,6.17,30.29,10.79,4.77,very low contamination
5235,-28.7406,20.5167,0.001,44.38,22.02,11.07,62.69,21.77,8.49,very low contamination
5236,-28.8192,21.0339,0.001,22.21,13.66,4.51,29.29,8.44,3.46,very low contamination
5237,-28.6653,21.2867,0.001,53.61,25.22,11.05,68.88,21.44,9.51,very low contamination
5238,-28.9161,21.7478,0.001,38.43,18.26,6.42,43.67,12.46,4.36,very low contamination
5239,-28.8417,21.8503,0.001,37.18,16.68,5.47,36.42,11.45,4.32,very low contamination
5240,-28.9181,22.1589,0.001,12.26,8.68,1.29,8.74,3.4,1.31,very low contamination
5241,-28.9244,22.4489,0.001,23.15,12.03,2.7,20.15,5.72,2.11,very low contamination
5242,-28.675,22.8078,0.001,46.48,37.4,9.97,53.88,19.67,9.08,very low contamination
5243,-28.6672,22.3864,0.001,14.64,8.45,2.03,10.26,3.9,1.53,very low contamination
5244,-28.4931,22.6153,0.001,18.42,13.08,3.93,12.93,7.34,2.08,very low contamination
5245,-28.4456,22.8408,0.001,37.99,25.27,4.07,31.43,17.19,8.76,very low contamination
