id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
1,-25.65,25.8667,0.022,0.038,0.594,14.064,0.99,9.93,23.48,very low contamination
2,-25.5333,29.8667,0.014,0.069,0.164,3.261,0.56,5.44,18.38,very low contamination
3,-25.5,29.8667,0.002,0.045,0.11,1.659,0.26,1.64,1.09,very low contamination
4,-25.772,30.0731,0.006,0.0,0.072,6.337,0.23,4.49,3.8,very low contamination
5,-25.6843,30.0521,0.004,0.093,0.143,3.971,0.45,2.77,1.39,very low contamination
6,-25.5733,30.1193,0.008,0.267,0.418,2.008,4.45,1.43,0.141,very low contamination
7,-25.2554,30.156,0.036,0.24,0.351,2.232,0.642,1.748,0.649,very low contamination
8,-25.2293,30.0621,0.004,0.149,0.23,1.49,0.25,1.37,0.329,very low contamination
9,-25.7165,30.2391,0.005,0.22,0.288,3.225,0.36,2.27,0.8,very low contamination
10,-25.4283,30.2853,0.007,0.065,1.516,3.7,0.58,3.78,10.35,very low contamination
11,-25.4,30.35,0.006,0.042,1.242,2.445,1.62,4.89,4.17,very low contamination
12,-25.35,30.35,0.008,0.153,2.224,4.956,0.26,1.88,11.97,very low contamination
13,-25.3296,30.3886,0.016,0.083,7.016,0.981,0.68,10.64,16.6,very low contamination
14,-25.3333,30.3833,0.005,0.063,0.524,7.962,0.42,2.83,2.62,very low contamination
15,-25.7856,30.2553,0.037,0.169,2.374,1.224,1.574,5.236,3.437,very low contamination
16,-25.8425,30.2234,0.03,0.14,10.902,1.308,0.79,12.28,9.65,very low contamination
17,-26.3333,29.7667,0.007,0.046,1.356,1.626,0.23,1.88,8.62,very low contamination
18,-26.3667,29.8,0.006,0.209,1.176,3.838,0.3,2.68,1.42,very low contamination
19,-26.3569,29.8177,0.006,0.128,7.687,1.315,0.24,6.2,11.27,very low contamination
20,-26.35,29.8333,0.013,0.167,1.237,0.305,0.36,9.71,7.66,very low contamination
21,-26.1739,30.0325,0.003,0.198,0.296,1.058,0.09,0.73,0.062,very low contamination
22,-26.0333,29.8667,0.001,0.062,0.029,3.267,0.08,0.9,0.285,very low contamination
23,-26.479,29.9525,0.008,0.092,1.015,1.477,0.49,0.72,1.27,very low contamination
24,-26.4833,29.95,0.001,0.063,0.08,0.329,0.05,0.42,0.071,very low contamination
25,-25.9926,30.262,0.005,0.108,0.094,4.663,0.31,1.76,0.173,very low contamination
26,-25.9926,30.262,0.004,0.097,0.911,1.793,0.18,1.47,1.63,very low contamination
27,-26.1032,30.2836,0.003,0.111,0.113,6.062,0.29,3.95,2.29,very low contamination
28,-26.4336,30.307,0.004,0.033,0.083,1.923,6.24,0.91,0.066,very low contamination
29,-26.3,30.4333,0.005,0.065,0.109,2.629,0.26,1.37,0.56,very low contamination
30,-26.1477,30.5118,0.003,0.155,0.359,2.561,0.48,6.51,0.49,very low contamination
31,-26.1835,30.6642,0.001,0.077,0.067,4.926,0.24,1.27,0.091,very low contamination
32,-26.1963,30.7731,0.002,0.125,0.055,2.296,0.17,1.22,0.036,very low contamination
33,-26.2383,30.8272,0.002,0.086,0.073,3.285,0.28,2.94,0.744,very low contamination
34,-26.236,30.8278,0.004,0.093,0.121,3.259,0.84,3.64,0.16,very low contamination
35,-26.5285,30.7518,0.004,0.795,1.116,2.111,0.34,1.85,11.21,very low contamination
36,-26.0379,30.7423,0.003,0.091,0.194,0.915,0.14,1.01,0.76,very low contamination
37,-25.9846,30.6848,0.004,0.293,2.456,2.196,0.28,3.19,3.66,very low contamination
38,-26.0538,30.8869,0.033,0.043,15.137,1.061,0.2,14.58,22.11,very low contamination
39,-26.0266,30.8308,0.005,0.051,0.743,0.854,0.4,0.4,1.68,very low contamination
40,-25.7867,30.5582,0.004,0.034,0.141,2.838,0.22,2.98,3.41,very low contamination
41,-25.8187,30.5657,0.012,0.106,1.619,1.971,1.39,4.71,7.21,very low contamination
42,-25.6667,29.7,0.007,0.082,0.224,3.821,0.56,0.94,0.127,very low contamination
43,-25.7333,29.6,0.005,0.0,0.22,4.27,0.5,3.02,2.44,very low contamination
44,-25.7893,29.6011,0.006,0.066,0.104,6.554,0.31,1.52,2.38,very low contamination
45,-25.6906,29.6701,0.002,0.087,0.033,0.408,0.11,0.21,0.062,very low contamination
46,-25.6203,29.647,0.017,0.095,0.805,5.963,1.14,5.06,8.9,very low contamination
47,-25.7667,29.6167,0.005,0.115,0.106,5.95,0.28,1.96,2.91,very low contamination
48,-25.4833,29.85,0.002,0.122,0.332,0.789,0.08,0.44,0.032,very low contamination
49,-25.35,29.9667,0.002,0.096,0.029,1.077,0.07,0.67,0.086,very low contamination
50,-25.6833,29.65,0.002,0.074,0.035,1.621,0.1,1.5,0.74,very low contamination
51,-25.4833,29.8333,0.002,0.307,0.089,0.831,0.09,0.3,0.038,very low contamination
52,-25.6667,29.5833,0.005,0.134,1.834,3.837,0.31,2.36,5.02,very low contamination
53,-25.75,29.65,0.006,0.158,2.308,3.856,0.24,1.49,4.43,very low contamination
54,-25.45,29.8833,0.004,0.198,0.133,1.927,0.19,0.99,0.085,very low contamination
55,-25.8,29.6167,0.004,0.241,0.131,1.689,0.4,1.16,0.079,very low contamination
56,-25.6,29.7667,0.004,0.18,0.145,2.582,0.34,1.88,0.207,very low contamination
57,-25.4167,29.5333,0.008,0.183,0.111,7.832,0.2,1.69,0.7,very low contamination
58,-25.8645,29.3939,0.007,0.166,0.309,6.034,0.12,1.45,2.25,very low contamination
59,-30.4139,28.875,0.023,0.239,11.31,2.343,0.65,5.26,9.86,very low contamination
60,-30.1728,29.2583,0.018,0.177,5.448,3.306,0.73,3.45,10.46,very low contamination
61,-30.1708,29.2889,0.012,0.192,5.657,5.259,0.29,4.36,9.4,very low contamination
62,-27.1658,21.0888,0.009,0.188,10.0,2.374,1.35,9.44,5.3,very low contamination
63,-27.1369,32.0095,0.026,0.146,1.783,6.36,3.31,4.59,6.64,very low contamination
64,-27.4463,32.1881,0.012,0.145,2.126,1.21,0.44,1.25,2.82,very low contamination
65,-27.4899,32.1933,0.015,0.163,5.866,2.268,0.69,4.48,13.37,very low contamination
66,-27.4692,32.2387,0.009,0.143,3.214,2.061,0.13,0.5,5.57,very low contamination
67,-27.4097,32.2041,0.001,0.171,1.299,0.616,0.32,1.14,2.99,very low contamination
68,-27.4111,32.2175,0.01,0.402,1.751,4.158,0.52,4.74,3.26,very low contamination
69,-30.2986,29.3486,0.032,0.356,17.332,8.387,0.76,7.9,18.53,very low contamination
70,-30.425,29.3319,0.012,0.31,6.634,8.194,0.4,6.08,14.09,very low contamination
71,-27.4478,32.3203,0.007,0.29,0.404,0.597,0.19,0.3,0.318,very low contamination
72,-30.4361,29.3014,0.041,0.317,10.028,6.828,0.5,5.67,11.08,very low contamination
73,-25.3333,29.6333,0.007,0.195,0.135,1.473,0.11,0.64,0.179,very low contamination
74,-25.35,29.65,0.004,0.44,0.279,1.593,0.15,0.37,0.073,very low contamination
75,-25.3667,29.65,0.002,0.252,0.083,1.618,0.08,0.38,0.126,very low contamination
76,-25.45,29.65,0.002,0.244,0.116,2.35,0.07,0.87,0.58,very low contamination
77,-25.3833,29.1,0.006,0.76,0.245,1.059,0.19,1.38,0.084,very low contamination
78,-25.4833,29.0167,0.004,0.24,0.242,2.709,0.19,1.22,0.67,very low contamination
79,-25.4833,29.0167,0.015,0.201,4.53,2.552,0.88,3.08,3.67,very low contamination
80,-25.9,29.8833,0.009,0.235,0.091,3.646,0.46,2.13,1.7,very low contamination
81,-25.75,29.8333,0.006,0.263,0.14,1.508,0.13,1.15,0.196,very low contamination
82,-25.1167,29.45,0.009,0.256,0.246,13.516,1.06,1.98,1.53,very low contamination
83,-25.5202,29.0432,0.007,0.172,0.215,8.34,0.2,0.66,0.71,very low contamination
84,-25.1167,29.5667,0.002,0.216,0.055,1.881,0.06,0.2,0.181,very low contamination
85,-25.2333,29.7667,0.006,0.277,0.095,2.334,0.1,0.81,0.055,very low contamination
86,-25.2333,29.7667,0.006,0.257,0.086,1.784,0.11,0.82,0.037,very low contamination
87,-26.05,29.1833,0.043,0.234,5.531,5.59,0.88,7.12,15.08,very low contamination
88,-25.05,29.1833,0.039,0.456,18.853,0.701,3.014,10.54,9.104,very low contamination
89,-27.06,30.7994,0.013,0.465,1.1,2.176,0.21,0.99,0.8,very low contamination
90,-27.0294,30.8212,0.01,0.415,1.409,3.686,0.72,1.13,0.49,very low contamination
91,-27.0307,30.8194,0.01,0.392,0.591,5.483,0.3,2.77,1.88,very low contamination
92,-27.0252,30.8253,0.006,0.425,0.097,5.116,0.17,0.94,0.095,very low contamination
93,-27.0619,30.7691,0.051,0.403,6.6,4.83,1.71,11.78,4.71,very low contamination
94,-27.0703,30.3634,0.01,0.598,0.297,4.181,0.14,1.19,0.187,very low contamination
95,-26.1333,30.2833,0.004,0.406,0.164,4.795,0.2,2.02,0.58,very low contamination
96,-27.0928,30.4885,0.013,0.424,0.181,4.558,0.41,1.0,0.172,very low contamination
97,-27.152,31.0896,0.037,0.217,3.903,3.538,0.34,5.43,8.6,very low contamination
98,-27.2246,31.1171,0.018,0.387,1.759,9.915,1.14,4.4,4.39,very low contamination
99,-26.7652,30.4182,0.012,0.692,0.412,6.591,0.31,3.09,4.39,very low contamination
100,-26.6667,30.3667,0.016,0.443,1.029,21.505,0.36,0.78,0.204,very low contamination
101,-26.5987,30.6349,0.013,0.354,0.355,3.803,0.71,1.63,0.113,very low contamination
102,-26.5729,30.5398,0.009,0.256,0.089,6.975,0.12,1.18,0.232,very low contamination
103,-27.0663,30.546,0.011,0.947,0.263,3.665,0.34,1.05,0.221,very low contamination
104,-27.0698,30.5429,0.01,0.706,0.234,3.824,0.27,1.47,0.192,very low contamination
105,-27.0718,30.5428,0.028,0.385,0.31,4.869,0.32,1.23,0.178,very low contamination
106,-27.0718,30.5428,0.002,0.401,0.225,2.299,0.467,1.38,0.235,very low contamination
107,-26.8744,30.112,0.015,0.244,0.782,3.51,0.64,1.15,1.16,very low contamination
108,-26.8833,30.0833,0.041,0.17,0.376,2.19,3.091,1.394,1.488,very low contamination
109,-26.7333,29.9,0.043,0.232,0.569,2.797,11.16,0.75,0.62,very low contamination
110,-26.6915,30.1428,0.023,0.229,0.578,4.164,0.87,8.75,7.24,very low contamination
111,-26.6885,30.1438,0.009,0.243,0.131,3.986,0.23,3.44,3.74,very low contamination
112,-27.06,30.7994,0.011,0.313,0.952,2.276,0.25,0.83,0.415,very low contamination
113,-27.0911,29.792,0.021,0.343,1.287,8.329,0.94,1.96,1.25,very low contamination
114,-27.01,30.2071,0.012,0.581,0.215,10.623,0.38,2.01,0.346,very low contamination
115,-27.2674,32.0796,0.042,0.371,4.098,1.708,9.21,16.53,5.14,very low contamination
116,-27.2617,29.9672,0.061,0.195,2.507,3.003,10.17,16.92,10.18,very low contamination
117,-29.8741,30.7433,0.039,0.236,2.612,1.766,1.67,15.06,6.07,very low contamination
118,-27.2617,29.9672,0.025,0.454,1.78,4.269,4.67,3.87,1.81,very low contamination
119,-27.2587,29.9701,0.031,0.243,1.134,6.81,4.71,3.49,5.28,very low contamination
120,-27.2513,29.9726,0.019,0.251,1.064,7.057,0.69,2.05,2.98,very low contamination
121,-27.3167,29.65,0.035,0.214,6.273,1.564,25.29,10.88,3.79,very low contamination
122,-27.3167,29.65,0.012,0.174,3.387,4.139,0.56,3.23,5.2,very low contamination
123,-27.3167,29.65,0.008,0.238,1.804,4.819,0.45,3.62,1.84,very low contamination
124,-27.3049,29.6661,0.029,0.271,2.581,5.174,1.09,3.16,2.16,very low contamination
125,-27.3829,31.2245,0.024,0.449,2.022,6.05,2.02,5.21,2.54,very low contamination
126,-26.8675,30.8733,0.009,0.727,1.158,4.823,0.35,2.91,3.39,very low contamination
127,-25.7333,30.3333,0.009,0.345,0.972,6.28,0.7,7.23,2.39,very low contamination
128,-27.5078,31.9655,0.048,0.203,9.966,1.582,3.78,19.47,12.58,very low contamination
129,-27.5776,31.9616,0.043,0.394,7.524,1.062,2.21,52.546,16.288,very low contamination
130,-27.5811,31.9574,0.04,0.179,6.992,0.535,0.46,27.69,16.51,very low contamination
131,-27.6405,31.9983,0.042,0.184,8.469,0.6,1.19,21.15,13.66,very low contamination
132,-27.6081,31.9815,0.036,0.164,9.505,0.5,1.02,31.56,14.94,very low contamination
133,-27.6239,32.0697,0.035,0.161,12.14,0.701,0.75,21.18,12.39,very low contamination
134,-27.6854,32.0242,0.022,0.194,14.16,0.421,0.92,14.67,13.11,very low contamination
135,-27.6751,32.0225,0.02,0.09,9.573,0.424,0.8,19.68,18.94,very low contamination
136,-28.0588,32.2626,0.007,0.092,0.576,0.679,0.3,9.19,0.63,very low contamination
137,-28.0131,32.2691,0.027,0.082,3.711,1.935,4.9,67.29,17.41,very low contamination
138,-28.358,32.1947,0.011,0.098,5.949,1.021,1.3,9.8,12.09,very low contamination
139,-28.1306,32.2883,0.005,0.081,0.773,1.306,0.11,1.56,5.03,very low contamination
140,-28.3555,32.1943,0.006,0.101,5.005,2.054,0.4,13.26,15.64,very low contamination
141,-28.6732,31.9052,0.013,0.091,3.43,2.906,0.72,20.52,32.43,very low contamination
142,-28.6936,31.877,0.018,0.093,3.785,1.792,0.23,19.11,12.28,very low contamination
143,-28.809,31.9549,0.005,0.215,0.205,3.605,0.18,1.29,0.63,very low contamination
144,-28.1837,32.3059,0.006,0.102,0.363,0.609,0.16,0.85,1.27,very low contamination
145,-28.8218,31.9391,0.004,0.085,0.241,1.097,0.07,0.42,2.42,very low contamination
146,-28.8814,31.906,0.002,0.266,0.056,0.606,0.123,0.202,0.013,very low contamination
147,-28.5913,31.8358,0.002,0.388,0.09,0.643,0.242,0.235,0.05,very low contamination
148,-34.0501,24.4539,0.002,0.175,0.066,0.934,0.161,0.145,0.016,very low contamination
149,-34.1624,24.6581,0.005,0.094,0.095,0.43,0.163,0.12,0.02,very low contamination
150,-34.157,24.6507,0.003,0.104,0.038,0.582,0.126,0.086,0.007,very low contamination
151,-34.1258,24.5025,0.003,0.08,0.067,0.549,0.139,0.085,0.01,very low contamination
152,-34.0168,24.1351,0.003,0.281,0.107,1.314,0.26,0.33,0.043,very low contamination
153,-34.0746,24.2659,0.006,0.115,0.077,1.006,0.163,0.124,0.01,very low contamination
154,-34.0321,24.1422,0.009,0.189,0.039,0.743,0.25,0.095,0.01,very low contamination
155,-33.5589,26.9662,0.002,0.262,0.231,0.371,2.68,0.159,0.156,very low contamination
156,-33.3019,26.8202,0.004,0.241,0.935,2.916,0.33,2.32,3.87,very low contamination
157,-33.4326,26.3218,0.02,0.255,0.24,0.516,1.0,0.331,0.149,very low contamination
158,-33.5786,26.7813,0.001,3.203,0.303,0.621,0.323,0.258,0.38,very low contamination
159,-33.5345,26.6882,0.007,0.854,1.309,0.463,0.36,0.4,0.75,very low contamination
160,-33.5765,26.7489,0.004,0.461,0.407,1.667,0.27,0.92,0.318,very low contamination
161,-33.6159,26.7621,0.012,0.319,4.418,2.698,1.22,1.22,7.65,very low contamination
162,-33.4961,26.8148,0.006,0.252,1.558,2.102,1.18,1.15,3.37,very low contamination
163,-33.44,26.7545,0.005,0.294,1.099,2.497,0.78,0.93,2.68,very low contamination
164,-33.5043,26.8365,0.004,0.261,0.862,1.82,0.39,0.64,0.74,very low contamination
165,-33.9667,23.85,0.011,0.19,0.075,0.955,0.94,0.25,0.021,very low contamination
166,-33.9667,23.9667,0.012,0.076,0.072,0.253,1.259,0.316,0.017,very low contamination
167,-33.9667,23.9333,0.006,0.119,0.068,0.743,0.662,0.172,0.015,very low contamination
168,-33.9667,23.9667,0.007,0.085,0.082,0.673,0.42,0.55,0.019,very low contamination
169,-34.071,24.2321,0.009,0.165,0.233,2.83,1.21,1.43,0.054,very low contamination
170,-33.2823,26.8933,0.006,0.081,0.083,1.977,1.55,1.55,2.94,very low contamination
171,-33.1999,26.4163,0.017,0.242,2.974,2.969,1.47,1.36,4.3,very low contamination
172,-33.2359,26.0928,0.002,0.364,0.391,1.835,0.31,0.73,0.108,very low contamination
173,-33.3028,26.0373,0.019,0.077,0.842,2.94,0.86,2.14,3.95,very low contamination
174,-33.3501,26.1997,0.006,0.24,3.988,5.901,1.81,3.14,8.32,very low contamination
175,-33.3626,26.2539,0.0,0.293,0.307,1.064,0.22,0.46,0.156,very low contamination
176,-33.501,27.0635,0.002,0.266,0.177,0.369,0.195,0.108,0.177,very low contamination
177,-32.5969,25.866,0.007,0.226,1.114,1.947,0.344,1.18,2.07,very low contamination
178,-32.7596,26.0348,0.01,0.246,3.178,1.977,1.21,3.08,2.14,very low contamination
179,-32.7873,26.0201,0.007,0.249,1.923,1.404,0.84,2.08,2.91,very low contamination
180,-33.2999,26.7644,0.059,0.194,41.58,1.231,0.6,13.002,12.756,very low contamination
181,-33.046,25.991,0.021,0.09,1.838,2.543,0.43,1.41,4.9,very low contamination
182,-33.8996,25.0673,0.006,0.092,1.42,1.794,0.542,1.51,3.884,very low contamination
183,-33.9751,25.4811,0.003,0.118,0.041,0.526,0.14,0.36,0.022,very low contamination
184,-33.9869,25.3706,0.006,0.107,0.158,0.604,0.224,0.469,0.188,very low contamination
185,-33.9795,25.4169,0.003,0.112,0.05,0.443,0.187,0.119,0.032,very low contamination
186,-33.9867,25.4854,0.003,0.105,0.071,0.26,0.182,0.094,0.069,very low contamination
187,-34.0048,25.5047,0.004,0.112,0.106,0.68,0.176,0.142,0.061,very low contamination
188,-34.0029,25.4986,0.01,0.125,0.253,0.973,0.233,0.164,0.078,very low contamination
189,-34.0121,25.4964,0.015,0.096,0.142,0.222,0.478,0.18,0.46,very low contamination
190,-33.7314,25.5953,0.011,0.084,0.237,0.658,0.67,0.44,0.109,very low contamination
191,-33.7469,25.594,0.009,0.082,1.054,1.739,0.34,2.5,2.98,very low contamination
192,-33.5937,25.5344,0.006,0.107,0.684,1.142,0.31,0.82,2.02,very low contamination
193,-33.5314,25.5858,0.018,0.118,1.309,2.265,0.98,2.32,1.83,very low contamination
194,-33.9485,24.5996,0.003,0.125,0.059,0.719,0.226,0.161,0.045,very low contamination
195,-34.0017,24.922,0.008,0.076,0.428,3.805,0.66,0.74,3.79,very low contamination
196,-34.0017,24.922,0.004,0.295,0.699,3.16,1.88,1.18,1.99,very low contamination
197,-34.0665,24.8797,0.013,0.1,1.182,4.448,1.3,2.27,3.88,very low contamination
198,-34.0316,24.8863,0.006,0.119,0.162,2.101,1.98,0.43,0.217,very low contamination
199,-28.8339,26.8107,0.009,0.091,0.842,1.131,0.23,1.41,1.53,very low contamination
200,-28.8921,26.9592,0.013,0.084,1.118,2.04,0.57,1.95,4.3,very low contamination
201,-29.1232,26.922,0.009,0.093,0.452,2.253,0.2,2.18,2.64,very low contamination
202,-28.8926,27.0141,0.01,0.097,0.785,1.605,0.68,2.19,2.86,very low contamination
203,-28.8994,26.7655,0.009,0.083,1.067,1.824,0.17,2.02,3.67,very low contamination
204,-28.6463,26.7425,0.007,0.081,0.514,0.964,0.26,1.54,1.63,very low contamination
205,-28.6912,26.8515,0.023,0.296,4.027,0.978,0.45,8.95,8.12,very low contamination
206,-28.6566,26.6885,0.012,0.094,1.553,1.979,0.4,2.7,2.98,very low contamination
207,-28.458,26.9602,0.014,0.092,2.125,1.304,0.36,4.2,1.9,very low contamination
208,-28.4984,26.966,0.016,0.103,2.667,1.867,0.7,4.54,3.44,very low contamination
209,-28.4859,26.9076,0.021,0.121,1.131,0.564,1.37,4.06,3.9,very low contamination
210,-28.4654,26.8677,0.017,0.13,4.727,2.134,0.4,4.84,5.66,very low contamination
211,-29.014,27.1403,0.008,0.087,0.526,1.156,0.3,1.66,1.58,very low contamination
212,-28.4399,27.2685,0.005,0.098,0.268,1.42,0.24,1.24,1.52,very low contamination
213,-28.6911,27.176,0.015,0.117,1.3,2.326,2.84,2.63,4.17,very low contamination
214,-28.4069,27.1849,0.01,0.104,0.855,1.65,0.59,1.5,2.92,very low contamination
215,-29.1322,26.7802,0.014,0.099,1.274,1.487,0.6,2.49,1.97,very low contamination
216,-28.8955,26.7818,0.005,0.109,1.113,1.443,1.0,2.03,3.16,very low contamination
217,-28.8433,27.1989,0.003,0.104,0.527,1.662,0.77,1.3,1.66,very low contamination
218,-29.3155,26.7784,0.008,0.104,0.847,1.118,0.42,1.81,1.87,very low contamination
219,-29.4588,26.5753,0.022,0.109,4.506,4.08,0.47,3.82,4.3,very low contamination
220,-29.4511,26.6742,0.018,0.104,1.301,2.243,0.87,2.58,3.22,very low contamination
221,-29.233,27.0241,0.006,0.092,0.666,0.946,0.22,2.36,1.35,very low contamination
222,-29.4188,27.033,0.018,0.107,1.399,1.511,1.14,2.6,1.65,very low contamination
223,-29.265,27.0163,0.006,0.103,0.685,0.95,0.49,2.09,1.02,very low contamination
224,-29.3449,26.9904,0.005,0.105,0.719,1.183,0.42,2.14,1.92,very low contamination
225,-29.3364,26.9901,0.007,0.099,0.807,1.104,0.44,2.06,2.08,very low contamination
226,-27.1433,31.0642,0.004,0.097,0.303,2.434,0.32,5.57,5.16,very low contamination
227,-26.5713,30.4844,0.002,0.171,0.058,2.311,0.28,1.55,0.121,very low contamination
228,-25.8333,28.95,0.022,0.222,6.887,10.688,1.58,4.98,7.03,very low contamination
229,-25.8167,28.9,0.003,0.135,0.07,6.084,0.16,0.9,0.082,very low contamination
230,-25.7667,28.6667,0.002,0.068,0.043,4.079,0.07,1.27,0.416,very low contamination
231,-25.8167,28.55,0.001,0.126,0.129,1.573,0.12,0.82,0.124,very low contamination
232,-25.85,28.5667,0.004,0.121,0.072,1.124,0.15,0.97,0.199,very low contamination
233,-25.8833,28.6,0.002,0.207,0.417,2.414,0.59,1.46,0.22,very low contamination
234,-25.9,28.6333,0.001,0.12,0.089,1.566,0.17,0.64,0.48,very low contamination
235,-25.9667,29.5333,0.003,0.112,0.362,2.974,0.24,1.04,1.1,very low contamination
236,-25.95,28.55,0.002,0.122,0.071,2.072,0.16,0.43,0.3,very low contamination
237,-25.7833,28.6667,0.003,0.047,0.02,7.067,1.7,0.52,0.088,very low contamination
238,-25.7,28.6667,0.0,0.104,0.022,2.343,0.1,1.18,0.91,very low contamination
239,-25.5667,28.6,0.015,0.113,1.758,5.028,0.8,8.57,16.22,very low contamination
240,-25.6333,29.5667,0.008,0.1,0.452,1.459,0.2,0.98,0.7,very low contamination
241,-25.7,28.9333,0.01,0.224,6.492,4.259,0.43,5.09,7.56,very low contamination
242,-25.7167,28.8,0.005,0.11,1.527,1.501,0.36,1.22,3.11,very low contamination
243,-26.1612,28.6384,0.007,0.137,0.316,1.993,0.5,2.66,2.2,very low contamination
244,-26.0815,28.3849,0.008,0.145,1.098,1.297,1.34,1.51,1.06,very low contamination
245,-25.7902,30.7937,0.003,0.458,0.237,1.335,0.33,1.6,0.305,very low contamination
246,-25.6138,31.645,0.002,0.149,0.342,0.955,0.27,0.41,0.515,very low contamination
247,-25.642,30.8527,0.004,0.211,0.217,1.364,0.24,1.51,0.422,very low contamination
248,-25.6447,30.8484,0.002,0.131,0.078,1.274,0.27,1.27,0.6,very low contamination
249,-25.7077,30.834,0.0,0.113,0.031,1.278,0.1,0.34,0.397,very low contamination
250,-25.8069,30.986,0.004,0.105,0.336,0.652,0.28,0.8,2.34,very low contamination
251,-25.8506,30.8415,0.001,0.351,0.421,1.178,0.32,1.77,1.4,very low contamination
252,-25.8333,30.8167,0.002,0.508,0.499,5.172,0.28,3.4,1.3,very low contamination
253,-25.45,31.9,0.012,0.097,0.271,6.091,1.5,5.04,3.01,very low contamination
254,-25.45,30.9833,0.005,0.099,0.089,2.18,1.16,3.74,0.5,very low contamination
255,-25.4465,30.9695,0.013,0.283,1.744,6.908,2.14,4.92,5.44,very low contamination
256,-25.4348,30.9926,0.002,0.096,0.068,4.292,0.16,0.26,0.329,very low contamination
257,-25.4458,30.9921,0.002,0.094,0.137,1.854,0.62,0.33,1.03,very low contamination
258,-25.45,30.0,0.043,0.184,5.645,0.61,0.438,5.672,7.539,very low contamination
259,-25.45,30.9833,0.001,0.122,0.041,0.441,0.16,0.157,0.021,very low contamination
260,-25.4552,30.9942,0.002,0.139,0.123,4.125,0.22,0.8,1.21,very low contamination
261,-25.5096,30.5134,0.005,0.403,0.553,2.557,0.47,4.35,1.59,very low contamination
262,-25.5618,30.603,0.004,0.374,0.136,2.627,0.28,1.95,0.089,very low contamination
263,-25.3917,30.6033,0.002,0.105,0.444,1.256,0.15,1.91,1.87,very low contamination
264,-25.5147,30.8847,0.002,0.151,0.071,3.786,0.32,0.81,0.429,very low contamination
265,-25.5439,30.8329,0.004,0.327,0.872,1.61,0.42,6.14,8.33,very low contamination
266,-25.6781,30.7665,0.002,0.306,0.177,1.19,0.17,1.35,0.98,very low contamination
267,-25.5756,30.7187,0.002,0.119,0.204,1.895,0.2,3.49,4.67,very low contamination
268,-25.5294,30.742,0.001,0.162,0.168,2.268,0.15,2.18,13.66,very low contamination
269,-25.5021,30.7944,0.001,0.138,0.053,1.643,0.1,0.5,0.051,very low contamination
270,-25.6101,30.4858,0.005,0.112,1.573,2.779,0.25,4.86,6.32,very low contamination
271,-25.4333,31.95,0.01,0.115,1.156,0.189,0.22,5.51,0.329,very low contamination
272,-25.5386,31.8425,0.01,0.169,13.554,1.121,0.38,6.21,6.02,very low contamination
273,-25.5167,31.7,0.004,0.123,3.817,1.987,0.21,1.81,2.38,very low contamination
274,-25.6879,31.9223,0.016,0.116,0.774,0.285,0.52,5.72,0.76,very low contamination
275,-25.8366,31.9092,0.014,0.096,3.93,1.546,0.51,7.46,5.51,very low contamination
276,-25.7333,31.8444,0.02,0.107,5.949,4.352,0.69,7.31,12.56,very low contamination
277,-25.7344,31.824,0.01,0.099,2.52,1.198,0.46,4.99,6.24,very low contamination
278,-25.646,31.8046,0.023,0.093,4.688,1.191,1.46,36.27,18.48,very low contamination
279,-25.864,31.71,0.012,0.0,6.22,12.026,0.79,2.49,4.81,very low contamination
280,-25.7167,31.9,0.026,0.0,4.736,4.113,0.5,20.28,13.04,very low contamination
281,-25.6027,31.6607,0.013,0.0,2.493,3.863,0.46,2.07,3.5,very low contamination
282,-25.6275,31.5532,0.012,0.0,3.034,3.642,0.36,18.12,30.72,very low contamination
283,-25.6798,31.5567,0.014,0.0,19.787,5.61,0.51,13.74,37.2,very low contamination
284,-25.6833,31.55,0.037,0.216,11.107,1.869,0.657,6.049,6.351,very low contamination
285,-25.6833,31.5167,0.004,0.0,4.41,4.774,0.11,4.38,7.3,very low contamination
286,-25.617,31.8649,0.007,1.442,0.868,1.008,0.19,5.67,2.28,very low contamination
287,-25.4031,31.9261,0.012,0.0,2.285,2.865,0.36,26.82,14.57,very low contamination
288,-25.584,31.8325,0.018,0.0,11.815,1.235,0.31,4.23,4.86,very low contamination
289,-25.4889,31.6744,0.004,0.0,0.286,6.6,0.13,0.33,0.73,very low contamination
290,-25.5241,31.3381,0.027,0.0,5.305,6.128,1.15,5.16,10.63,very low contamination
291,-25.8566,31.7777,0.009,0.348,1.744,6.556,0.2,2.66,1.06,very low contamination
292,-28.0921,26.2711,0.008,0.0,0.368,4.615,0.79,0.36,1.26,very low contamination
293,-27.9345,31.2066,0.013,0.13,0.696,2.296,0.3,1.39,1.18,very low contamination
294,-27.9232,29.9078,0.006,0.0,0.251,2.532,0.05,0.24,1.18,very low contamination
295,-27.1709,26.1033,0.01,0.0,1.574,4.602,0.47,1.42,3.26,very low contamination
296,-27.2576,31.0066,0.004,0.0,0.088,3.787,0.04,0.58,1.03,very low contamination
297,-26.7118,25.6866,0.007,0.0,0.699,3.409,0.17,0.35,2.72,very low contamination
298,-26.3741,25.6609,0.01,0.552,1.194,3.8,0.43,0.92,3.28,very low contamination
